Company,2018,2019,2020,2021,2022
ABB LTD,930466.0,754175.0,756803.0,647793.0,750136.0
ADDEX THERAPEUTICS,1.0,9.0,28.0,59.0,32.0
ADECCO GROUP,111689.0,181866.0,173179.0,168127.0,142465.0
ALSO HOLDING,12288.0,11683.0,8399.0,7286.0,5984.0
AMS-OSRAM AG,581890.0,412943.0,181600.0,177000.0,310000.0
APG SGA,10963.0,7056.0,8377.0,8868.0,6610.0
ARBONIA AG,101549.0,131627.0,109551.0,92248.0,145113.0
ARYZTA,99566.0,94844.0,114733.0,103473.0,91321.0
ASCOM 'R',2500.0,2800.0,1700.0,1800.0,2500.0
AUTONEUM HOLDING,173600.0,162600.0,125800.0,41900.0,34100.0
AVOLTA AG,205300.0,201700.0,199300.0,101100.0,74300.0
BACHEM HOLDING,45118.0,33839.0,28794.0,65521.0,114554.0
BALOISE HOLDING,21700.0,32300.0,31100.0,27300.0,14000.0
BARRY CALLEBAUT,179561.0,180821.0,220293.0,233430.0,227364.0
BC VAUD,52000.0,59000.0,54000.0,53000.0,51000.0
BELIMO,21182.0,16160.0,35958.0,22790.0,38935.0
BELL 'R',116400.0,219000.0,215900.0,214300.0,220400.0
BKW,244900.0,228200.0,222700.0,203600.0,229900.0
BOSSARD 'B',15271.0,19898.0,28179.0,19254.0,24265.0
BURKHALTER,1563.0,16804.0,5643.0,3513.0,5348.0
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,173200.0,244900.0,209400.0,225900.0,217300.0
CLARIANT,248000.0,237000.0,273000.0,288000.0,357000.0
COMET HOLDINGS 'R',37554.0,26020.0,16419.0,12635.0,9991.0
COSMO PHARMACEUTICALS,12289.0,1898.0,2245.0,4120.0,5487.0
DAETWYLER 'I',99700.0,137900.0,91600.0,79700.0,103700.0
DKSH HOLDING,25800.0,35300.0,45200.0,31200.0,44800.0
DOCMORRIS AG,5083.0,10258.0,10394.0,26417.0,14621.0
DORMA KABA HOLD,93600.0,79200.0,92000.0,41000.0,50900.0
EFG INTERNATIONAL,40700.0,13300.0,7700.0,13400.0,7800.0
EMMI AG,96260.0,80251.0,103994.0,122498.0,151196.0
FEINTOOL,50308.0,81352.0,50438.0,40513.0,37564.0
FLUGHAFEN ZURICH,162324.0,228829.0,432890.0,232064.0,153800.0
FORBO HDG.,57800.0,38700.0,36100.0,39700.0,38800.0
GALENICA SANTE,28046.0,26962.0,33749.0,36492.0,41937.0
GAM HOLDING,5400.0,23700.0,8900.0,19200.0,20700.0
GEBERIT 'R',159000.0,162400.0,166900.0,149700.0,169400.0
GEORG FISCHER,207000.0,234000.0,178000.0,137000.0,135000.0
GIVAUDAN 'N',191000.0,239000.0,275000.0,188000.0,186000.0
GURIT HOLDING 'B',10383.0,13043.0,23236.0,23645.0,21050.0
HELVETIA HOLDING,45300.0,26200.0,35800.0,45600.0,69500.0
HOLCIM,1522000.0,1411000.0,1534000.0,1114000.0,1532000.0
HUBER+SUHNER 'R',32833.0,25091.0,31604.0,32861.0,40097.0
IMPLENIA 'R',65618.0,75082.0,70998.0,52609.0,42653.0
INFICON,14026.0,19793.0,18309.0,12638.0,20523.0
INTERROLL,20975.0,25542.0,30550.0,47962.0,46552.0
INTERSHOP,16047.0,36267.0,35535.0,61149.0,84148.0
INVESTIS HOLDING,35250.0,79203.0,69689.0,47764.0,70098.0
JULIUS BAER GRUPPE,171200.0,177100.0,164700.0,185500.0,196800.0
JUNGFRAUBAHN 'R',31196.0,62990.0,114826.0,116675.0,63882.0
KARDEX HOLDING AG,5920.0,11165.0,12988.0,20132.0,7555.0
KOMAX,18742.0,37118.0,49210.0,23427.0,34854.0
KUDELSKI 'B',21327.0,15297.0,13558.0,6248.0,6785.0
KUEHNE UND NAGEL INTERNATIONAL,225000.0,315000.0,320000.0,177000.0,197000.0
LEM 'R',12552.0,14023.0,13463.0,14740.0,13326.0
LEONTEQ,16108.0,18903.0,28232.0,25510.0,23085.0
LIECHTENSTEINISCHE LANDESBANK,26368.0,31754.0,11993.0,10007.0,9163.0
LOGITECH 'R',35304.0,39448.0,36050.0,53070.0,85752.0
LONZA GROUP,427000.0,528000.0,757000.0,892000.0,1301000.0
METALL ZUG,49074.0,72220.0,79737.0,38144.0,31664.0
MEYER BURGER,7053.0,4986.0,6894.0,20725.0,109971.0
MOBILEZONE HOLDING,4227.0,5146.0,4391.0,4498.0,5626.0
MOBIMO HOLDING,186903.0,218388.0,87147.0,70473.0,128747.0
MOLECULAR PARTNERS,481.0,456.0,1031.0,1451.0,933.0
NESTLE 'N',3934000.0,3869000.0,3695000.0,4076000.0,4880000.0
NOVARTIS 'R',1662877.0,1732061.0,1369595.0,1190111.0,1260594.0
OC OERLIKON CORPORATION,202000.0,232000.0,140000.0,64000.0,83000.0
ORASCOM DEV.HOLDING,37156.0,60177.0,74585.0,36524.0,57609.0
ORIOR,14897.0,16589.0,13169.0,12595.0,14325.0
