Company,2018,2019,2020,2021,2022
ABB LTD,27084830,27777258,24337993,26482545,28116495
ADDEX THERAPEUTICS,6703,2834,3879,3153,1445
ADECCO GROUP,27472110,26006781,20947288,22609837,23718485
ALSO HOLDING,10561701,11870146,12741604,13377015,11591232
AMS-OSRAM AG,1426306,1885265,3504000,5038000,4819000
APG SGA,303762,320187,263594,267944,312489
ARBONIA AG,1374007,1415967,1038421,1186177,1202097
ARYZTA,3989075,3812443,3152476,1658354,1817844
ASCOM 'R',318500,282900,281000,291500,297400
AUTONEUM HOLDING,2281500,2297400,1740600,1700400,1804500
AVOLTA AG,8684900,8848600,2561100,3915400,6878400
BACHEM HOLDING,282500,313715,401995,503234,531741
BALOISE HOLDING,6922600,10612700,8371400,10112800,5979900
BARRY CALLEBAUT,6948411,7309036,6893146,7207595,8091855
BC VAUD,1130700,1134700,1069000,1099300,1178000
BELIMO,642368,692680,661226,765343,846900
BELL 'R',4059400,4013000,4019400,4151600,4315000
BKW,2525500,2710800,2935700,3380000,5064500
BOSSARD 'B',871070,876224,812792,995148,1153841
BURKHALTER,501569,505913,497632,539507,800835
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,4313200,4509000,4016800,4585500,4970200
CLARIANT,6623000,4399000,3860000,4372000,5198000
COMET HOLDINGS 'R',436356,371606,395816,513721,586395
COSMO PHARMACEUTICALS,65617,62495,60949,65074,102089
DAETWYLER 'I',1361600,1088500,1012100,947600,1150600
DKSH HOLDING,11344600,11579200,10742200,11106300,11320200
DOCMORRIS AG,1207108,1355539,1476930,1726503,1608222
DORMA KABA HOLD,2841000,2818300,2539800,2499700,2756900
EFG INTERNATIONAL,1525300,1623700,1466700,1634900,1755700
EMMI AG,3457412,3493963,3706061,3911861,4230009
FEINTOOL,679551,632684,491965,588058,860973
FLUGHAFEN ZURICH,1152897,1210084,623974,680000,1023500
FORBO HDG.,1327000,1282200,1117700,1254000,1293200
GALENICA SANTE,3165019,3301002,3479753,3834679,4014348
GAM HOLDING,1068700,852200,690400,681900,465500
GEBERIT 'R',3080500,3082900,2986100,3460500,3391900
GEORG FISCHER,4572000,3720000,3184000,3722000,3998000
GIVAUDAN 'N',5527000,6203000,6322000,6684000,7117000
GURIT HOLDING 'B',410616,558345,576708,467930,499454
HELVETIA HOLDING,9148400,10690600,10310800,12585300,10392500
HOLCIM,27466000,26722000,23142000,26834000,29189000
HUBER+SUHNER 'R',885037,830610,737897,862947,954564
IMPLENIA 'R',4364473,4430833,3988946,3764670,3563266
INFICON,400970,379056,371315,471833,553941
INTERROLL,559851,559664,530629,640063,664409
INTERSHOP,174480,95027,117333,185460,214704
INVESTIS HOLDING,210261,195744,192712,217056,290954
JULIUS BAER GRUPPE,4105600,4109400,4059900,4267900,4522700
JUNGFRAUBAHN 'R',203872,214147,120154,125619,204527
KARDEX HOLDING AG,487355,523089,442162,491612,567478
KOMAX,478613,417392,327391,420711,606114
KUDELSKI 'B',887235,804675,680922,689697,672664
KUEHNE UND NAGEL INTERNATIONAL,20774000,21094000,20382000,32801000,39398000
LEM 'R',301243,321591,307942,300966,373395
