Company,2018,2019,2020,2021,2022
ABB LTD,97.93,96.44,96.37,97.03,97.13
ADDEX THERAPEUTICS,0.0,0.0,0.0,0.0,0.0
ADECCO GROUP,45.51,44.19,45.19,43.88,37.69
ALSO HOLDING,14.51,15.28,23.95,24.68,22.64
AMS-OSRAM AG,19.6,7.87,36.7,50.56,47.5
APG SGA,32.18,48.54,47.72,45.21,47.42
ARBONIA AG,29.42,41.42,40.9,57.13,55.35
ARYZTA,39.17,46.17,44.51,42.22,43.85
ASCOM 'R',8.72,36.01,40.92,38.4,39.73
AUTONEUM HOLDING,67.76,69.91,70.39,72.6,73.03
AVOLTA AG,33.91,43.33,35.12,38.88,47.31
BACHEM HOLDING,2.73,30.05,56.51,29.24,0.79
BALOISE HOLDING,55.79,57.67,56.66,55.12,62.02
BARRY CALLEBAUT,68.57,70.62,76.79,73.68,75.93
BC VAUD,27.76,28.55,61.77,63.96,73.21
BELIMO,26.67,31.67,28.51,41.21,37.21
BELL 'R',45.36,65.43,65.49,68.68,66.73
BKW,2.9,2.79,17.01,32.0,48.25
BOSSARD 'B',8.21,9.05,10.2,25.8,26.93
BURKHALTER,0.0,13.9,30.19,26.32,24.65
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,79.64,83.44,81.52,77.8,85.61
CLARIANT,71.11,68.32,71.28,70.27,70.57
COMET HOLDINGS 'R',4.04,13.26,36.35,21.36,43.16
COSMO PHARMACEUTICALS,0.0,0.0,0.0,6.11,20.93
DAETWYLER 'I',34.28,35.66,39.71,38.84,36.36
DKSH HOLDING,36.94,61.74,60.97,59.63,70.79
DOCMORRIS AG,1.62,2.18,27.35,33.32,33.53
DORMA KABA HOLD,78.19,83.88,90.31,90.05,89.62
EFG INTERNATIONAL,25.29,24.44,44.68,45.85,50.29
EMMI AG,46.48,68.62,65.75,71.29,77.06
FEINTOOL,33.74,42.86,52.81,53.43,54.18
FLUGHAFEN ZURICH,46.03,44.41,44.73,44.21,35.44
FORBO HDG.,40.5,43.7,46.02,42.12,37.8
GALENICA SANTE,67.25,67.63,66.85,67.98,64.68
GAM HOLDING,60.56,62.36,66.53,71.53,75.16
GEBERIT 'R',95.35,94.06,95.61,91.78,92.5
GEORG FISCHER,72.14,73.91,87.37,87.93,87.44
GIVAUDAN 'N',73.6,72.63,73.29,72.29,73.14
GURIT HOLDING 'B',21.98,32.66,53.57,74.83,76.05
HELVETIA HOLDING,69.66,78.86,73.52,71.72,71.48
