Company,2018,2019,2020,2021,2022
ABB LTD,92.71,93.82,93.77,93.98,91.19
ADDEX THERAPEUTICS,17.99,20.13,22.45,20.19,16.99
ADECCO GROUP,64.48,69.99,73.1,72.13,70.31
ALSO HOLDING,13.91,20.12,38.84,35.26,33.69
AMS-OSRAM AG,39.65,42.87,59.44,66.96,65.43
APG SGA,20.38,37.91,43.01,40.36,34.05
ARBONIA AG,33.39,42.06,56.79,62.59,63.42
ARYZTA,48.41,53.93,56.35,55.17,55.15
ASCOM 'R',30.53,45.87,53.72,55.48,57.68
AUTONEUM HOLDING,64.76,69.15,68.69,68.25,69.37
AVOLTA AG,36.44,53.81,51.04,50.42,57.01
BACHEM HOLDING,21.77,34.02,51.01,46.55,38.49
BALOISE HOLDING,43.67,45.98,44.94,40.58,38.94
BARRY CALLEBAUT,77.1,76.57,77.92,77.01,77.07
BC VAUD,34.94,33.92,50.89,60.71,73.44
BELIMO,43.48,49.33,51.53,60.02,57.6
BELL 'R',32.99,44.06,45.61,45.73,43.66
BKW,15.96,17.7,26.95,43.14,46.85
BOSSARD 'B',26.88,33.3,38.79,48.33,46.98
BURKHALTER,9.57,21.02,27.66,24.84,25.19
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,63.99,69.34,72.53,71.97,72.68
CLARIANT,77.92,76.83,81.08,81.65,80.16
COMET HOLDINGS 'R',23.03,29.5,46.85,46.78,56.38
COSMO PHARMACEUTICALS,17.81,28.69,32.85,34.14,48.33
DAETWYLER 'I',46.3,50.08,51.29,45.42,47.42
DKSH HOLDING,56.9,73.23,75.44,74.45,78.5
DOCMORRIS AG,19.49,23.29,35.9,47.81,47.18
DORMA KABA HOLD,69.01,71.47,81.67,82.17,84.1
EFG INTERNATIONAL,21.72,33.27,30.12,41.11,41.94
EMMI AG,48.81,55.91,55.06,55.3,60.15
FEINTOOL,30.29,39.27,44.73,43.05,50.46
FLUGHAFEN ZURICH,29.87,34.7,34.98,31.91,42.84
FORBO HDG.,61.55,63.59,64.18,59.21,55.29
GALENICA SANTE,74.74,70.92,72.07,69.57,68.79
GAM HOLDING,57.48,56.03,64.85,77.18,81.46
GEBERIT 'R',89.98,89.37,91.14,88.48,85.65
GEORG FISCHER,77.61,75.52,83.24,83.94,83.18
GIVAUDAN 'N',75.05,73.35,74.96,74.82,76.41
GURIT HOLDING 'B',24.83,41.8,54.46,68.98,74.46
HELVETIA HOLDING,57.39,66.68,65.97,65.9,62.89
HOLCIM,78.55,77.55,77.22,76.24,77.68
HUBER+SUHNER 'R',50.64,50.96,63.46,62.95,61.47
IMPLENIA 'R',48.8,53.04,62.98,61.01,61.99
INFICON,19.75,26.03,53.31,54.28,55.22
INTERROLL,26.71,28.55,34.42,35.04,51.14
INTERSHOP,16.05,23.53,21.74,20.47,22.19
INVESTIS HOLDING,11.26,10.87,14.63,15.26,18.72
JULIUS BAER GRUPPE,64.56,64.2,73.25,72.82,68.99
JUNGFRAUBAHN 'R',13.54,18.24,28.91,27.47,26.8
KARDEX HOLDING AG,21.47,25.16,41.71,40.69,44.43
KOMAX,33.39,35.69,38.21,37.3,41.25
KUDELSKI 'B',12.77,20.43,27.85,25.63,23.95
KUEHNE UND NAGEL INTERNATIONAL,66.89,71.3,69.86,69.73,65.8
LEM 'R',32.76,41.72,50.47,49.21,48.6
LEONTEQ,35.6,35.99,40.63,50.37,63.48
LIECHTENSTEINISCHE LANDESBANK,45.17,47.97,49.52,57.19,62.08
LOGITECH 'R',64.34,68.76,71.74,79.53,77.92
LONZA GROUP,81.99,86.83,78.56,77.93,81.03
METALL ZUG,44.33,45.87,26.75,29.67,30.39
MEYER BURGER,73.24,66.2,69.22,58.86,58.13
MOBILEZONE HOLDING,11.74,18.71,29.34,33.34,38.17
MOBIMO HOLDING,62.27,63.23,67.46,68.89,67.91
MOLECULAR PARTNERS,37.16,32.82,39.53,43.89,44.04
NESTLE 'N',90.63,89.55,91.57,84.36,87.1
NOVARTIS 'R',84.12,85.51,86.49,85.75,87.07
OC OERLIKON CORPORATION,47.89,53.92,59.39,70.2,72.21
ORASCOM DEV.HOLDING,10.11,16.64,19.59,18.26,16.24
ORIOR,42.84,47.03,61.0,52.61,58.42
PARTNERS GROUP HOLDING,40.12,47.87,47.18,52.13,59.55
PSP SWISS PROPERTY AG,40.25,40.67,43.47,56.56,53.02
RICHEMONT,65.23,67.07,68.48,69.68,75.61
RIETER HOLDING 'R',58.23,59.4,65.64,58.1,58.89
ROCHE HOLDING,89.57,93.15,95.05,94.09,94.68
SCHINDLER 'R',51.23,53.48,59.77,51.06,53.59
SCHWEITER,23.28,32.6,43.34,43.91,47.0
SCHWEIZERISCHE NAT.BK.,22.6,25.17,25.33,24.7,23.2
SFS GROUP,39.58,40.53,44.13,46.39,42.92
SGS 'N',84.37,82.04,85.31,87.48,86.33
SIEGFRIED 'R',69.57,65.1,66.89,68.08,68.65
SIKA,66.28,77.49,79.95,78.88,81.76
SONOVA,80.34,83.9,83.86,87.98,83.83
STRAUMANN HLDG.,62.85,67.36,65.89,68.16,68.65
SULZER 'R',53.5,65.19,62.21,76.17,70.84
SWISS LIFE HOLDING,67.47,70.3,72.23,76.77,76.27
SWISS PRIME SITE,51.96,57.01,64.34,61.9,60.34
SWISS STEEL HOLDING AG,48.26,44.34,50.52,48.88,52.49
SWISSCOM 'R',71.1,72.43,75.81,66.9,71.12
SWISSQUOTE 'R',23.62,21.16,51.56,47.62,56.51
TECAN 'R',40.41,52.33,58.63,55.39,64.28
TEMENOS,62.2,67.55,69.92,72.16,71.08
THE SWATCH GROUP,33.15,32.9,33.95,55.47,61.31
TX GROUP AG,17.02,14.9,16.15,38.25,44.92
