Company,2018,2019,2020,2021,2022
ABB LTD,83.68,90.24,90.88,90.05,86.9
ADDEX THERAPEUTICS,23.72,33.36,40.18,38.23,33.22
ADECCO GROUP,84.66,81.34,92.38,92.56,94.16
ALSO HOLDING,27.83,35.17,52.56,48.7,47.92
AMS-OSRAM AG,43.67,66.77,81.81,84.86,85.65
APG SGA,22.41,41.79,46.93,45.98,39.02
ARBONIA AG,19.66,37.91,59.88,45.66,51.88
ARYZTA,72.64,67.17,77.52,64.24,65.99
ASCOM 'R',55.12,56.0,66.13,60.0,68.89
AUTONEUM HOLDING,37.84,50.89,51.13,48.42,47.22
AVOLTA AG,41.48,56.01,58.08,54.71,66.33
BACHEM HOLDING,20.85,37.55,41.63,49.19,44.58
BALOISE HOLDING,59.9,63.76,65.51,53.49,47.9
BARRY CALLEBAUT,71.78,73.53,72.69,72.1,68.57
BC VAUD,56.56,51.09,58.69,67.43,70.5
BELIMO,34.4,47.03,59.54,65.4,60.61
BELL 'R',29.57,29.79,34.18,33.5,30.88
BKW,44.52,52.69,54.85,75.46,62.73
BOSSARD 'B',33.98,47.93,61.46,69.24,64.55
BURKHALTER,31.09,31.77,31.02,30.65,20.23
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,37.5,36.11,49.04,43.05,38.08
CLARIANT,75.1,76.07,86.24,84.0,81.81
COMET HOLDINGS 'R',49.07,46.64,71.12,79.49,65.1
COSMO PHARMACEUTICALS,18.33,50.75,48.39,40.76,52.99
DAETWYLER 'I',25.15,37.06,34.74,31.01,33.79
DKSH HOLDING,56.73,65.7,73.26,73.03,76.47
DOCMORRIS AG,41.89,53.09,67.02,83.03,79.93
DORMA KABA HOLD,54.22,54.0,64.61,66.94,72.01
EFG INTERNATIONAL,43.1,57.27,58.17,71.89,67.99
EMMI AG,60.02,58.28,60.13,56.45,49.77
FEINTOOL,36.7,44.18,47.19,49.72,45.47
FLUGHAFEN ZURICH,19.59,23.55,29.98,24.28,36.19
FORBO HDG.,76.03,72.17,78.83,73.97,72.41
GALENICA SANTE,83.27,73.93,79.61,77.2,79.33
GAM HOLDING,76.82,73.29,85.69,83.72,90.31
GEBERIT 'R',77.01,77.36,79.09,74.06,65.93
GEORG FISCHER,70.37,62.29,72.91,72.39,75.15
GIVAUDAN 'N',81.14,82.37,82.45,84.92,87.69
GURIT HOLDING 'B',30.26,32.48,48.01,54.61,52.47
HELVETIA HOLDING,65.9,73.24,72.98,74.72,66.15
HOLCIM,95.2,93.64,90.28,88.91,90.16
HUBER+SUHNER 'R',45.32,46.18,61.63,60.15,52.47
IMPLENIA 'R',38.46,48.33,66.76,70.21,63.49
INFICON,32.45,39.98,59.19,60.41,64.55
INTERROLL,11.53,19.52,26.08,30.79,37.78
INTERSHOP,0.49,12.3,10.86,11.14,16.79
INVESTIS HOLDING,27.73,19.71,25.58,29.35,28.07
JULIUS BAER GRUPPE,74.36,74.32,79.2,80.71,72.35
JUNGFRAUBAHN 'R',15.12,22.05,28.22,28.34,32.46
KARDEX HOLDING AG,37.29,47.31,57.94,56.85,67.47
KOMAX,49.81,49.89,55.91,64.9,62.85
KUDELSKI 'B',12.41,17.73,33.54,31.04,28.25
KUEHNE UND NAGEL INTERNATIONAL,61.05,64.45,64.77,59.98,56.44
LEM 'R',34.64,29.07,51.11,46.03,38.84
LEONTEQ,50.21,56.4,54.39,58.7,76.36
LIECHTENSTEINISCHE LANDESBANK,50.0,58.33,58.33,45.0,61.67
LOGITECH 'R',65.75,74.24,82.46,91.86,88.62
LONZA GROUP,77.74,88.04,83.74,81.99,90.86
METALL ZUG,26.13,31.4,30.65,29.74,28.57
MEYER BURGER,74.09,68.93,71.2,63.62,63.09
MOBILEZONE HOLDING,30.31,40.07,60.7,58.09,53.02
MOBIMO HOLDING,38.95,34.76,52.41,64.9,60.11
MOLECULAR PARTNERS,37.18,27.79,39.68,54.1,46.75
NESTLE 'N',72.36,67.9,74.48,72.81,72.24
NOVARTIS 'R',73.86,75.54,78.71,75.28,81.05
OC OERLIKON CORPORATION,41.58,45.19,55.92,65.39,60.57
ORASCOM DEV.HOLDING,15.68,19.01,25.12,22.55,16.22
ORIOR,61.59,67.93,73.16,70.99,68.64
PARTNERS GROUP HOLDING,28.66,35.59,35.4,34.3,41.0
PSP SWISS PROPERTY AG,43.0,44.49,50.16,46.15,39.39
RICHEMONT,72.72,68.38,75.82,66.23,69.37
RIETER HOLDING 'R',28.89,28.57,47.32,30.89,47.03
ROCHE HOLDING,75.25,86.02,92.16,88.68,90.49
SCHINDLER 'R',36.95,42.62,63.48,55.48,56.8
SCHWEITER,29.84,45.63,51.09,54.43,62.14
SCHWEIZERISCHE NAT.BK.,12.69,14.24,17.89,12.74,10.26
SFS GROUP,39.4,44.29,48.54,59.57,49.53
SGS 'N',78.58,73.95,83.77,90.04,89.09
SIEGFRIED 'R',64.56,52.83,56.66,58.94,64.75
SIKA,61.41,69.8,80.01,75.94,80.69
SONOVA,75.46,77.44,77.34,88.5,76.04
STRAUMANN HLDG.,52.1,59.81,56.63,60.0,62.89
SULZER 'R',68.48,75.66,67.16,65.55,44.62
SWISS LIFE HOLDING,53.71,64.86,73.18,77.55,78.66
SWISS PRIME SITE,40.07,45.23,68.14,67.31,69.16
SWISS STEEL HOLDING AG,66.64,64.09,70.78,59.98,57.91
SWISSCOM 'R',66.7,76.02,72.07,57.87,70.0
SWISSQUOTE 'R',34.24,32.25,71.38,63.75,71.36
TECAN 'R',65.16,80.93,82.58,84.92,88.64
TEMENOS,52.62,58.01,63.08,69.33,68.45
THE SWATCH GROUP,12.33,14.46,22.93,31.51,25.43
TX GROUP AG,23.23,19.12,24.37,39.96,36.56
