Company,2018,2019,2020,2021,2022
ABB LTD,27084830.0,27777258.0,24337993,26482545.0,28116495
ADDEX THERAPEUTICS,6703.0,2834.0,3879,3153.0,1445
ADECCO GROUP,27472110.0,26006781.0,20947288,22609837.0,23718485
ALSO HOLDING,10561701.0,11870146.0,12741604,13377015.0,11591232
AMS-OSRAM AG,1426306.0,1885265.0,3504000,5038000.0,4819000
APG SGA,303762.0,320187.0,263594,267944.0,312489
ARBONIA AG,1374007.0,1415967.0,1038421,1186177.0,1202097
ARYZTA,3989075.0,3812443.0,3152476,1658354.0,1817844
ASCOM 'R',318500.0,282900.0,281000,291500.0,297400
AUTONEUM HOLDING,2281500.0,2297400.0,1740600,1700400.0,1804500
AVOLTA AG,8684900.0,8848600.0,2561100,3915400.0,6878400
BACHEM HOLDING,282500.0,313715.0,401995,503234.0,531741
BALOISE HOLDING,6922600.0,10612700.0,8371400,10112800.0,5979900
BARRY CALLEBAUT,6948411.0,7309036.0,6893146,7207595.0,8091855
BC VAUD,1130700.0,1134700.0,1069000,1099300.0,1178000
BELIMO,642368.0,692680.0,661226,765343.0,846900
BELL 'R',4059400.0,4013000.0,4019400,4151600.0,4315000
BKW,2525500.0,2710800.0,2935700,3380000.0,5064500
BOSSARD 'B',871070.0,876224.0,812792,995148.0,1153841
BURKHALTER,501569.0,505913.0,497632,539507.0,800835
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,4313200.0,4509000.0,4016800,4585500.0,4970200
CLARIANT,6623000.0,4399000.0,3860000,4372000.0,5198000
COMET HOLDINGS 'R',436356.0,371606.0,395816,513721.0,586395
COSMO PHARMACEUTICALS,65617.0,62495.0,60949,65074.0,102089
DAETWYLER 'I',1361600.0,1088500.0,1012100,947600.0,1150600
DKSH HOLDING,11344600.0,11579200.0,10742200,11106300.0,11320200
DOCMORRIS AG,1207108.0,1355539.0,1476930,1726503.0,1608222
DORMA KABA HOLD,2841000.0,2818300.0,2539800,2499700.0,2756900
EFG INTERNATIONAL,1525300.0,1623700.0,1466700,1634900.0,1755700
EMMI AG,3457412.0,3493963.0,3706061,3911861.0,4230009
FEINTOOL,679551.0,632684.0,491965,588058.0,860973
FLUGHAFEN ZURICH,1152897.0,1210084.0,623974,680000.0,1023500
FORBO HDG.,1327000.0,1282200.0,1117700,1254000.0,1293200
GALENICA SANTE,3165019.0,3301002.0,3479753,3834679.0,4014348
GAM HOLDING,1068700.0,852200.0,690400,681900.0,465500
GEBERIT 'R',3080500.0,3082900.0,2986100,3460500.0,3391900
GEORG FISCHER,4572000.0,3720000.0,3184000,3722000.0,3998000
GIVAUDAN 'N',5527000.0,6203000.0,6322000,6684000.0,7117000
GURIT HOLDING 'B',410616.0,558345.0,576708,467930.0,499454
HELVETIA HOLDING,9148400.0,10690600.0,10310800,12585300.0,10392500
HOLCIM,27466000.0,26722000.0,23142000,26834000.0,29189000
HUBER+SUHNER 'R',885037.0,830610.0,737897,862947.0,954564
IMPLENIA 'R',4364473.0,4430833.0,3988946,3764670.0,3563266
INFICON,400970.0,379056.0,371315,471833.0,553941
INTERROLL,559851.0,559664.0,530629,640063.0,664409
INTERSHOP,174480.0,95027.0,117333,185460.0,214704
INVESTIS HOLDING,210261.0,195744.0,192712,217056.0,290954
JULIUS BAER GRUPPE,4105600.0,4109400.0,4059900,4267900.0,4522700
JUNGFRAUBAHN 'R',203872.0,214147.0,120154,125619.0,204527
KARDEX HOLDING AG,487355.0,523089.0,442162,491612.0,567478
KOMAX,478613.0,417392.0,327391,420711.0,606114
KUDELSKI 'B',887235.0,804675.0,680922,689697.0,672664
KUEHNE UND NAGEL INTERNATIONAL,20774000.0,21094000.0,20382000,32801000.0,39398000
LEM 'R',301243.0,321591.0,307942,300966.0,373395
