Company,2018,2019,2020,2021,2022
ABB LTD,5.59,3.43,12.54,11.75,6.76
ADDEX THERAPEUTICS,-6.67,-38.95,-48.07,-70.85,-134.67
ADECCO GROUP,5.06,7.67,-0.64,5.89,3.06
ALSO HOLDING,4.08,4.46,5.04,5.78,5.53
AMS-OSRAM AG,3.76,8.51,1.55,1.54,-2.7
APG SGA,21.66,21.37,6.7,6.07,11.67
ARBONIA AG,3.42,2.01,3.17,9.04,1.36
ARYZTA,-8.42,-0.28,-27.44,-7.48,0.96
ASCOM 'R',10.22,0.63,3.71,7.36,5.97
AUTONEUM HOLDING,3.93,-4.29,0.08,2.32,0.73
AVOLTA AG,1.72,0.62,-17.92,-1.36,2.4
BACHEM HOLDING,8.2,8.72,11.63,11.5,7.55
BALOISE HOLDING,0.7,0.91,0.56,0.71,0.69
BARRY CALLEBAUT,7.72,7.97,5.87,6.46,6.03
BC VAUD,0.92,0.92,0.76,0.78,0.76
BELIMO,16.96,21.82,15.11,19.36,19.08
BELL 'R',4.01,2.03,4.57,4.82,4.6
BKW,2.5,4.71,4.25,3.1,4.84
BOSSARD 'B',15.5,12.72,11.21,14.47,13.02
BURKHALTER,10.84,10.19,6.87,10.89,11.89
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,7.08,7.17,4.35,6.13,7.16
CLARIANT,4.98,1.09,10.88,5.59,1.98
COMET HOLDINGS 'R',3.5,3.6,7.29,15.31,15.91
COSMO PHARMACEUTICALS,-3.15,-2.67,0.14,4.33,3.1
DAETWYLER 'I',9.85,-6.99,-31.49,17.33,9.06
DKSH HOLDING,5.51,3.74,3.35,4.63,3.96
DOCMORRIS AG,-6.37,-5.53,-10.73,-16.53,-13.01
DORMA KABA HOLD,8.98,8.18,5.67,6.58,4.26
EFG INTERNATIONAL,0.22,0.28,0.32,0.53,0.48
EMMI AG,8.72,6.13,7.57,9.28,7.69
FEINTOOL,5.21,1.92,-0.03,3.25,2.63
FLUGHAFEN ZURICH,5.72,7.14,-1.06,0.27,4.45
FORBO HDG.,14.03,14.03,10.15,14.11,11.05
GALENICA SANTE,8.3,6.41,7.94,7.15,6.56
GAM HOLDING,-51.03,1.31,-36.44,-2.67,-53.95
GEBERIT 'R',17.21,18.72,18.03,20.85,20.57
GEORG FISCHER,8.84,5.85,4.05,6.54,8.14
GIVAUDAN 'N',8.68,7.91,7.88,8.27,8.34
GURIT HOLDING 'B',7.07,11.46,14.0,3.36,3.2
HELVETIA HOLDING,0.77,1.1,0.51,0.88,0.91
HOLCIM,3.32,4.64,3.66,4.63,6.29
HUBER+SUHNER 'R',8.2,8.38,7.09,11.21,10.37
IMPLENIA 'R',0.07,1.41,-4.07,2.49,4.32
INFICON,24.52,20.23,17.61,24.99,24.02
INTERROLL,13.7,13.54,16.26,16.33,15.59
INTERSHOP,9.02,5.71,6.28,10.72,10.42
INVESTIS HOLDING,4.25,11.81,7.47,12.05,8.97
JULIUS BAER GRUPPE,0.79,0.51,0.71,1.01,0.92
JUNGFRAUBAHN 'R',7.03,7.17,-1.07,0.01,5.29
KARDEX HOLDING AG,15.93,17.12,14.84,15.24,10.99
KOMAX,12.44,3.14,0.73,7.12,8.57
KUDELSKI 'B',-1.83,-3.37,-1.33,1.86,-1.32
KUEHNE UND NAGEL INTERNATIONAL,10.38,9.48,8.36,17.03,18.36
LEM 'R',34.1,30.4,35.34,29.71,32.24
LEONTEQ,1.38,0.88,0.51,1.26,1.32
LIECHTENSTEINISCHE LANDESBANK,0.36,0.54,0.47,0.55,0.6
LOGITECH 'R',13.31,14.55,22.35,30.35,16.29
LONZA GROUP,4.58,5.27,6.59,19.46,7.51
METALL ZUG,5.56,2.69,1.68,7.26,18.39
MEYER BURGER,-15.65,-12.6,-22.09,-23.99,-9.48
MOBILEZONE HOLDING,12.52,12.44,10.09,15.64,16.01
MOBIMO HOLDING,3.52,3.85,3.37,4.26,3.9
MOLECULAR PARTNERS,-24.73,-27.88,-42.9,-35.39,54.21
NESTLE 'N',8.15,10.28,10.35,13.47,7.44
NOVARTIS 'R',10.25,10.17,7.51,19.94,6.49
OC OERLIKON CORPORATION,5.7,-1.48,1.31,4.74,2.47
ORASCOM DEV.HOLDING,0.05,1.63,0.26,0.1,2.42
ORIOR,8.95,8.35,6.09,7.69,8.38
PARTNERS GROUP HOLDING,26.5,26.47,20.62,33.83,22.0
PSP SWISS PROPERTY AG,4.35,6.02,3.64,6.78,3.64
RICHEMONT,5.66,11.01,3.75,4.48,6.04
RIETER HOLDING 'R',3.54,5.71,-8.92,3.07,1.3
ROCHE HOLDING,14.83,18.38,18.48,16.98,15.34
SCHINDLER 'R',10.54,8.86,7.07,7.59,5.42
SCHWEITER,6.02,6.42,10.1,7.91,2.89
SCHWEIZERISCHE NAT.BK.,-1.8,5.82,2.24,2.56,-13.65
SFS GROUP,12.64,13.08,11.4,14.19,12.66
SGS 'N',11.41,11.55,7.93,9.5,8.98
SIEGFRIED 'R',5.42,5.15,5.32,6.88,9.51
SIKA,11.99,10.05,8.99,10.84,11.12
SONOVA,10.04,10.93,11.58,11.95,12.08
STRAUMANN HLDG.,16.56,15.56,4.32,15.27,14.6
SULZER 'R',2.85,3.49,1.95,28.49,0.75
SWISS LIFE HOLDING,0.61,0.65,0.53,0.62,0.74
SWISS PRIME SITE,3.23,5.65,5.3,4.36,3.27
SWISS STEEL HOLDING AG,1.35,-21.77,-14.77,4.21,1.24
SWISSCOM 'R',7.38,7.66,6.78,7.9,6.89
SWISSQUOTE 'R',1.39,1.23,1.9,2.69,1.87
TECAN 'R',8.73,8.44,10.49,8.24,6.03
TEMENOS,12.47,10.45,8.9,8.88,6.24
THE SWATCH GROUP,6.45,5.55,-0.37,5.99,6.07
TX GROUP AG,3.57,2.25,-3.89,24.71,-1.14
U-BLOX HOLDING,7.5,2.79,-11.24,3.47,17.91
UBS GROUP,1.37,1.36,0.97,0.92,1.21
VALIANT 'R',0.44,0.42,0.39,0.36,0.36
VAT GROUP,14.39,8.13,13.95,21.58,26.62
VETROPACK 'B',6.25,7.75,8.41,6.39,3.89
VONTOBEL HOLDING,0.99,1.05,0.9,1.23,0.79
VZ HOLDING 'N',3.56,2.97,2.62,2.67,2.62
ZURICH INSURANCE GROUP,1.04,1.2,1.05,1.38,1.36
