Company,2018,2019,2020,2021,2022
ABB LTD,15.09,10.67,35.61,29.61,18.12
ADDEX THERAPEUTICS,-8.11,-45.64,-64.08,-96.37,-190.48
ADECCO GROUP,12.85,19.43,-2.71,17.1,8.83
ALSO HOLDING,12.55,14.28,16.57,17.77,15.16
AMS-OSRAM AG,8.8,20.1,-0.54,-1.0,-14.88
APG SGA,43.58,48.26,15.9,13.25,24.25
ARBONIA AG,5.26,2.98,5.09,14.32,1.88
ARYZTA,-26.14,-3.32,-60.43,-24.01,-4.38
ASCOM 'R',25.74,0.68,9.68,17.87,14.34
AUTONEUM HOLDING,10.35,-21.31,-7.24,6.84,-0.66
AVOLTA AG,2.38,-0.96,-144.27,-42.92,6.29
BACHEM HOLDING,12.3,13.02,16.91,14.36,8.79
BALOISE HOLDING,8.15,10.52,6.44,8.47,7.58
BARRY CALLEBAUT,16.26,15.86,13.3,15.25,12.92
BC VAUD,10.02,10.21,9.24,10.49,10.56
BELIMO,20.2,25.65,17.4,23.12,23.77
BELL 'R',8.61,3.85,8.94,9.17,8.91
BKW,5.88,11.75,10.11,8.0,13.78
BOSSARD 'B',29.27,24.37,21.58,28.98,28.65
BURKHALTER,25.37,25.62,18.61,32.87,36.97
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,11.2,11.15,6.95,9.99,11.84
CLARIANT,12.13,0.38,31.93,14.96,3.58
COMET HOLDINGS 'R',6.12,6.1,13.46,27.53,25.76
COSMO PHARMACEUTICALS,-3.97,-5.93,-2.03,4.86,3.63
DAETWYLER 'I',14.02,-11.53,-49.11,23.05,15.5
DKSH HOLDING,15.5,9.91,8.94,12.62,11.27
DOCMORRIS AG,-10.57,-12.33,-28.95,-44.41,-40.95
DORMA KABA HOLD,71.31,12.12,50.55,58.33,33.15
EFG INTERNATIONAL,4.22,5.6,6.73,11.44,10.07
EMMI AG,15.27,10.11,13.38,19.63,16.22
FEINTOOL,10.58,3.38,-1.31,6.08,3.75
FLUGHAFEN ZURICH,9.88,12.66,-2.88,-0.43,8.13
FORBO HDG.,21.97,21.81,15.62,23.43,18.92
GALENICA SANTE,16.52,13.0,16.88,14.74,13.35
GAM HOLDING,-68.27,-0.4,-57.59,-4.89,-92.2
GEBERIT 'R',33.34,35.5,33.62,38.66,40.54
GEORG FISCHER,20.82,12.45,8.44,15.15,17.96
GIVAUDAN 'N',18.29,19.1,20.84,22.13,20.98
GURIT HOLDING 'B',12.15,26.13,29.25,6.56,6.47
HELVETIA HOLDING,8.42,10.07,4.49,8.82,11.18
HOLCIM,5.49,8.04,6.15,8.48,11.68
HUBER+SUHNER 'R',10.11,10.39,8.84,14.08,13.55
IMPLENIA 'R',-0.85,5.28,-32.02,19.96,25.86
INFICON,31.06,25.95,23.04,34.36,34.65
INTERROLL,18.96,19.03,23.29,24.52,22.39
INTERSHOP,18.27,10.47,11.38,18.97,17.23
INVESTIS HOLDING,9.41,26.04,14.54,22.43,14.9
JULIUS BAER GRUPPE,12.4,7.61,11.07,16.44,14.59
JUNGFRAUBAHN 'R',8.74,9.07,-1.54,-0.08,7.1
KARDEX HOLDING AG,26.32,27.48,23.31,24.38,18.83
KOMAX,15.14,4.42,-0.55,12.12,15.19
KUDELSKI 'B',-6.49,-11.72,-6.62,4.24,-6.16
KUEHNE UND NAGEL INTERNATIONAL,33.2,34.44,33.37,72.43,72.0
LEM 'R',53.44,46.62,52.66,44.61,49.38
LEONTEQ,17.83,9.88,6.11,21.57,18.5
LIECHTENSTEINISCHE LANDESBANK,4.27,6.04,5.26,6.34,7.16
LOGITECH 'R',21.66,23.48,34.05,48.94,27.18
LONZA GROUP,9.05,10.15,13.06,35.54,11.94
METALL ZUG,7.84,4.2,2.58,11.23,28.75
MEYER BURGER,-13.94,-13.88,-30.07,-38.56,-20.24
MOBILEZONE HOLDING,182.34,179.66,180.55,150.06,124.43
MOBIMO HOLDING,6.27,6.79,6.24,8.66,7.6
MOLECULAR PARTNERS,-35.54,-49.76,-77.79,-59.47,68.83
NESTLE 'N',17.05,23.05,25.03,34.21,19.49
NOVARTIS 'R',16.49,17.8,14.52,39.31,11.37
OC OERLIKON CORPORATION,12.09,-3.73,2.27,11.94,6.6
ORASCOM DEV.HOLDING,-10.19,-3.86,-9.03,-1.66,7.24
ORIOR,36.35,37.5,30.15,37.7,37.72
PARTNERS GROUP HOLDING,39.21,42.29,35.28,56.59,37.82
PSP SWISS PROPERTY AG,7.57,10.54,6.47,12.4,6.46
RICHEMONT,8.24,17.62,5.5,7.42,11.06
RIETER HOLDING 'R',7.07,11.46,-21.92,8.49,3.2
ROCHE HOLDING,38.84,44.71,41.38,45.8,47.34
SCHINDLER 'R',27.73,23.27,18.84,20.21,14.13
SCHWEITER,7.86,8.44,14.12,11.14,3.81
SCHWEIZERISCHE NAT.BK.,-11.6,34.01,11.89,13.55,-98.13
SFS GROUP,17.03,17.09,14.82,18.11,19.64
SGS 'N',35.85,41.48,37.3,56.32,65.37
SIEGFRIED 'R',11.57,10.77,11.72,16.65,23.65
SIKA,27.15,31.53,25.73,27.29,24.84
SONOVA,17.55,18.9,22.14,24.42,25.16
STRAUMANN HLDG.,24.02,23.9,7.11,29.34,25.98
SULZER 'R',6.87,9.59,5.6,105.8,2.49
SWISS LIFE HOLDING,9.32,10.39,9.11,10.71,12.55
SWISS PRIME SITE,6.25,11.46,10.58,8.17,6.27
SWISS STEEL HOLDING AG,-0.21,-118.21,-182.51,17.16,1.91
SWISSCOM 'R',19.23,19.56,16.66,18.05,14.58
SWISSQUOTE 'R',13.78,12.28,22.34,36.59,23.2
TECAN 'R',12.16,11.51,14.89,12.42,9.38
TEMENOS,49.57,49.68,36.55,35.39,23.09
THE SWATCH GROUP,7.55,6.46,-0.46,6.82,6.86
TX GROUP AG,5.52,3.6,-6.35,36.63,-1.77
U-BLOX HOLDING,11.53,3.73,-20.39,5.24,28.51
UBS GROUP,8.56,8.16,11.61,12.64,13.47
VALIANT 'R',5.39,5.28,5.21,5.17,5.32
VAT GROUP,24.18,13.76,24.74,36.89,43.37
VETROPACK 'B',8.32,9.99,10.71,8.3,5.34
VONTOBEL HOLDING,13.28,14.27,13.1,18.88,11.24
VZ HOLDING 'N',20.21,19.25,20.12,21.74,20.7
ZURICH INSURANCE GROUP,12.47,13.95,12.16,15.85,14.08
