Company,2018,2019,2020,2021,2022
ABB LTD,94.81,94.16,93.59,94.18,89.02
ADDEX THERAPEUTICS,24.87,20.35,19.41,15.17,11.62
ADECCO GROUP,59.08,75.43,73.37,71.61,69.4
ALSO HOLDING,5.82,13.94,38.11,32.68,30.88
AMS-OSRAM AG,51.8,53.85,62.43,68.05,66.22
APG SGA,15.86,32.26,38.84,35.02,26.94
ARBONIA AG,45.45,45.24,68.0,77.63,77.49
ARYZTA,40.26,51.2,51.64,58.15,56.07
ASCOM 'R',18.15,41.28,48.52,60.7,56.63
AUTONEUM HOLDING,78.07,79.23,77.59,76.31,79.36
AVOLTA AG,33.03,56.56,51.86,51.75,52.99
BACHEM HOLDING,36.72,33.03,57.27,56.33,59.38
BALOISE HOLDING,33.89,34.64,31.01,31.97,30.83
BARRY CALLEBAUT,85.6,82.11,81.68,81.97,82.72
BC VAUD,27.61,28.91,49.67,61.64,81.89
BELIMO,65.79,67.25,66.48,73.12,73.96
BELL 'R',27.1,38.72,39.56,38.2,36.37
BKW,11.06,10.28,18.48,32.85,32.79
BOSSARD 'B',38.56,44.35,47.66,53.05,51.94
BURKHALTER,3.67,20.45,22.64,19.13,29.42
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,69.36,79.59,80.41,84.99,84.47
CLARIANT,86.69,86.16,88.24,92.12,89.19
COMET HOLDINGS 'R',21.79,33.17,37.05,47.08,64.18
COSMO PHARMACEUTICALS,26.2,27.99,38.71,43.45,58.65
DAETWYLER 'I',68.57,69.54,70.5,59.28,64.5
DKSH HOLDING,67.96,85.51,85.08,83.7,84.31
DOCMORRIS AG,14.4,15.19,20.67,32.98,33.48
DORMA KABA HOLD,78.71,82.03,93.96,93.06,93.16
EFG INTERNATIONAL,11.43,24.32,15.76,26.73,29.2
EMMI AG,43.8,46.45,45.32,44.44,55.4
FEINTOOL,23.7,33.44,36.66,30.62,50.33
FLUGHAFEN ZURICH,25.63,35.44,31.64,28.56,52.27
FORBO HDG.,69.77,74.61,69.91,63.54,58.89
GALENICA SANTE,72.7,70.52,69.19,65.24,63.77
GAM HOLDING,41.9,40.71,46.84,77.74,78.32
GEBERIT 'R',93.8,93.14,95.11,94.65,92.56
GEORG FISCHER,88.13,87.09,87.34,89.09,85.42
GIVAUDAN 'N',72.97,68.78,72.28,71.51,73.18
GURIT HOLDING 'B',24.61,56.84,59.2,71.36,85.79
HELVETIA HOLDING,52.41,63.47,63.67,62.63,62.97
HOLCIM,74.24,75.42,76.87,77.85,73.44
HUBER+SUHNER 'R',61.22,62.82,76.29,78.38,77.38
IMPLENIA 'R',41.91,42.9,59.33,61.54,61.77
INFICON,16.78,16.47,45.25,47.3,47.56
INTERROLL,55.21,54.13,54.61,52.52,73.91
INTERSHOP,34.53,47.08,43.18,38.82,32.46
INVESTIS HOLDING,6.18,12.37,16.2,14.69,21.47
JULIUS BAER GRUPPE,54.41,52.79,68.15,65.44,64.6
JUNGFRAUBAHN 'R',20.62,18.56,35.8,33.68,32.61
KARDEX HOLDING AG,29.05,31.29,50.61,49.54,47.74
KOMAX,33.33,33.67,36.19,31.41,34.65
KUDELSKI 'B',17.64,20.63,21.21,18.69,17.6
KUEHNE UND NAGEL INTERNATIONAL,69.44,72.38,70.17,71.93,70.47
LEM 'R',50.48,43.41,49.48,45.06,47.88
LEONTEQ,26.62,20.13,28.67,38.86,48.94
