Company,2018,2019,2020,2021,2022
ABB LTD,25.209,18.043,22.555,23.848,34.049
ADDEX THERAPEUTICS,2.29,2.25,1.64,1.99,1.0
ADECCO GROUP,74.55,45.93,61.22,59.16,47.02
ALSO HOLDING,134.0,111.4,163.4,253.0,300.0
AMS-OSRAM AG,321.16,85.546,142.589,104.01,92.862
APG SGA,455.25,330.0,284.0,197.4,195.4
ARBONIA AG,16.25,10.8,12.6,14.16,20.45
ARYZTA,8.219,1.089,1.082,0.682,1.14
ASCOM 'R',25.2,13.58,10.52,13.1,11.98
AUTONEUM HOLDING,264.66,138.952,109.54,152.339,162.52
AVOLTA AG,136.805,87.918,90.656,55.58,48.19
BACHEM HOLDING,30.796,22.717,30.96,79.1,135.6
BALOISE HOLDING,151.7,135.4,175.0,157.5,152.7
BARRY CALLEBAUT,2033.0,1531.0,2138.0,2104.0,2204.0
BC VAUD,73.5,74.1,79.0,96.3,71.5
BELIMO,213.3,197.0,364.5,384.0,567.0
BELL 'R',375.408,305.0,262.0,238.5,285.5
BKW,57.95,68.7,71.4,99.2,119.4
BOSSARD 'B',230.0,139.8,174.7,178.4,323.0
BURKHALTER,126.9,78.0,76.1,66.1,62.2
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,70485.0,73300.0,85500.0,88400.0,122200.0
CLARIANT,24.026,15.95,19.045,18.82,19.3
COMET HOLDINGS 'R',153.4,79.75,122.6,198.2,334.5
COSMO PHARMACEUTICALS,146.4,87.9,76.7,85.0,65.8
DAETWYLER 'I',188.4,124.8,186.4,257.0,402.5
DKSH HOLDING,85.25,67.85,52.7,66.55,74.75
DOCMORRIS AG,131.0,89.7,107.0,283.0,239.5
DORMA KABA HOLD,907.5,593.0,692.5,502.5,604.0
EFG INTERNATIONAL,10.3,5.75,6.39,5.8,6.99
EMMI AG,701.5,681.5,842.5,911.5,1078.0
FEINTOOL,79.751,50.824,41.768,37.78,39.402
FLUGHAFEN ZURICH,222.9,162.5,176.7,156.1,168.7
FORBO HDG.,1505.0,1381.0,1648.0,1518.0,1894.0
GALENICA SANTE,50.05,43.28,59.85,59.0,68.65
GAM HOLDING,10.764,2.635,1.916,1.479,0.986
GEBERIT 'R',429.1,382.3,543.2,554.2,747.0
GEORG FISCHER,64.4,39.325,49.15,57.0,70.5
GIVAUDAN 'N',2252.0,2276.0,3031.0,3730.0,4793.0
GURIT HOLDING 'B',105.3,86.7,149.4,248.0,156.8
HELVETIA HOLDING,109.7,114.9,136.8,93.4,109.3
HOLCIM,54.95,40.5,53.7,48.62,47.07
HUBER+SUHNER 'R',50.85,65.5,76.8,69.9,86.7
IMPLENIA 'R',65.019,32.638,38.735,24.04,21.1
INFICON,608.5,497.6,768.5,808.0,1348.0
INTERROLL,1443.0,1452.0,2175.0,2695.0,4260.0
INTERSHOP,97.4,97.6,113.4,123.0,123.0
INVESTIS HOLDING,62.65,61.8,81.2,91.4,104.5
JULIUS BAER GRUPPE,59.6,35.01,49.93,51.0,61.34
JUNGFRAUBAHN 'R',127.2,125.5,165.0,137.2,137.8
KARDEX HOLDING AG,116.457,113.4,163.0,193.6,302.5
KOMAX,319.5,230.0,236.4,176.3,255.4
KUDELSKI 'B',12.05,5.64,5.75,3.45,3.55
KUEHNE UND NAGEL INTERNATIONAL,172.5,126.35,163.2,200.8,290.6
LEM 'R',1652.0,1048.0,1424.0,1728.0,2550.0
LEONTEQ,60.916,41.0,32.84,35.05,70.9
LIECHTENSTEINISCHE LANDESBANK,49.65,64.2,62.4,52.5,53.4
LOGITECH 'R',32.9,30.92,45.83,85.92,77.4
LONZA GROUP,263.3,254.7,353.2,568.8,749.2
METALL ZUG,2497.298,1689.189,1472.973,1500.0,2060.0
MEYER BURGER,230.862,82.944,51.84,84.046,103.66
MOBILEZONE HOLDING,12.168,10.94,10.86,10.08,13.78
MOBIMO HOLDING,241.137,215.778,266.034,273.719,302.307
MOLECULAR PARTNERS,26.3,19.06,17.52,20.75,18.0
NESTLE 'N',83.8,79.8,104.78,104.26,129.22
NOVARTIS 'R',69.038,70.412,87.102,79.283,76.136
OC OERLIKON CORPORATION,16.45,11.04,11.36,9.15,9.47
ORASCOM DEV.HOLDING,11.0,14.9,15.28,9.23,10.98
ORIOR,77.15,79.7,89.5,75.4,90.5
PARTNERS GROUP HOLDING,668.0,596.0,887.4,1040.0,1499.0
PSP SWISS PROPERTY AG,92.35,96.85,133.6,118.3,113.5
RICHEMONT,88.3,63.0,76.06,80.08,137.75
RIETER HOLDING 'R',237.8,128.8,138.1,96.7,176.6
ROCHE HOLDING,246.5,243.4,314.0,309.0,378.9
SCHINDLER 'R',220.5,190.6,237.2,238.4,245.8
SCHWEITER,1264.0,869.0,1226.0,1460.0,1352.0
SCHWEIZERISCHE NAT.BK.,3889.0,4150.0,5390.0,4680.0,5380.0
SFS GROUP,113.2,76.3,93.1,105.0,126.3
SGS 'N',101.64,88.4,106.04,106.8,122.28
SIEGFRIED 'R',316.376,328.094,457.965,640.302,867.316
SIKA,129.003,124.6,181.85,241.8,382.3
SONOVA,152.2,160.6,221.5,230.0,358.5
STRAUMANN HLDG.,68.85,61.8,95.04,103.15,196.75
SULZER 'R',79.403,52.432,72.551,62.542,91.6
SWISS LIFE HOLDING,340.227,373.362,479.079,412.4,571.0
SWISS PRIME SITE,87.724,78.136,109.91,85.355,88.252
SWISS STEEL HOLDING AG,162.564,104.505,54.382,45.479,68.6
SWISSCOM 'R',518.5,469.7,512.6,477.1,517.6
SWISSQUOTE 'R',38.15,45.25,48.52,85.9,201.5
TECAN 'R',202.7,190.8,272.0,433.8,515.0
TEMENOS,125.0,117.9,153.2,123.65,126.75
THE SWATCH GROUP,397.4,286.7,270.0,241.5,282.0
TX GROUP AG,138.0,105.5,93.7,70.8,155.0
U-BLOX HOLDING,185.399,76.315,94.536,57.39,69.482
UBS GROUP,17.94,12.235,12.225,12.47,16.63
VALIANT 'R',105.4,108.0,98.4,86.5,90.6
VAT GROUP,144.4,86.3,163.55,220.8,469.6
VETROPACK 'B',37.52,40.2,60.8,59.7,57.2
VONTOBEL HOLDING,61.5,50.4,69.15,70.2,81.8
VZ HOLDING 'N',66.1,53.0,59.7,80.9,97.5
ZURICH INSURANCE GROUP,296.6,293.1,397.1,373.5,406.6
