Company,2018,2019,2020,2021,2022
ABB LTD,42653170.0,43751664.0,35616825,35643696,34920600
ADDEX THERAPEUTICS,42214.0,33029.0,20182,22542,8282
ADECCO GROUP,10773877.0,11303443.0,10392034,12088103,12868738
ALSO HOLDING,2674674.0,3047147.0,3083668,3172986,3104875
AMS-OSRAM AG,3568201.0,4424864.0,9798000,9462000,8763000
APG SGA,200125.0,191514.0,203740,213825,187603
ARBONIA AG,1506184.0,1525878.0,1507964,1616391,1515126
ARYZTA,5396523.0,5073078.0,3625962,2190003,1988988
ASCOM 'R',210700.0,204300.0,195400,188400,195000
AUTONEUM HOLDING,1581500.0,1817400.0,1785700,1478700,1439000
AVOLTA AG,9252200.0,13236800.0,11109500,9810500,9164200
BACHEM HOLDING,609020.0,641539.0,706469,1293112,1374349
BALOISE HOLDING,80282200.0,86292000.0,87481100,88910700,79583200
BARRY CALLEBAUT,5766363.0,6421263.0,7057564,7166846,7663596
BC VAUD,47863000.0,48352000.0,53186000,55952000,59397000
BELIMO,528105.0,589879.0,570968,632303,660196
BELL 'R',2718200.0,2712000.0,2744900,2798300,3065600
BKW,9021300.0,9204200.0,9388100,12039500,11838000
BOSSARD 'B',587421.0,629993.0,620069,751870,889968
BURKHALTER,220890.0,218719.0,209298,231641,421852
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,7190100.0,7917800.0,7889000,8770500,7790200
CLARIANT,7712000.0,7745000.0,6773000,6875000,6068000
COMET HOLDINGS 'R',360696.0,383313.0,418618,479017,538861
COSMO PHARMACEUTICALS,613962.0,575150.0,587965,786926,744912
DAETWYLER 'I',1234800.0,1099800.0,1049400,1210000,1245200
DKSH HOLDING,4858700.0,5307600.0,5071100,5300300,5824900
DOCMORRIS AG,717940.0,983658.0,1272051,1262562,1094653
DORMA KABA HOLD,1778800.0,1735700.0,1648900,1717000,1759000
EFG INTERNATIONAL,40043000.0,40891300.0,40540700,42081100,43458000
EMMI AG,2810037.0,2854787.0,2330962,2468673,2630558
FEINTOOL,688828.0,689218.0,662418,675071,894613
FLUGHAFEN ZURICH,4363369.0,4591357.0,5066589,4955100,5207700
FORBO HDG.,940100.0,1052000.0,1065400,944200,925900
GALENICA SANTE,1835625.0,2199503.0,2248086,2561191,2609567
GAM HOLDING,1221200.0,1299100.0,775600,720200,350100
GEBERIT 'R',3409900.0,3600500.0,3625000,3683500,3279700
GEORG FISCHER,3391000.0,3274000.0,3375000,3696000,3628000
GIVAUDAN 'N',9060000.0,10185000.0,10440000,11238000,11397000
GURIT HOLDING 'B',363802.0,357630.0,370536,326207,355784
HELVETIA HOLDING,57631900.0,60465800.0,68963700,68779800,60439600
HOLCIM,59044000.0,57661000.0,52711000,59102000,56993000
HUBER+SUHNER 'R',758749.0,738571.0,729198,823261,804489
IMPLENIA 'R',2835174.0,3046275.0,2863654,2917752,2702327
INFICON,258791.0,259448.0,263293,324770,383155
