Company,2018,2019,2020,2021,2022
ABB LTD,8462876.0,8769112.0,5417085,5071632,7102150
ADDEX THERAPEUTICS,0.0,550.0,567,482,373
ADECCO GROUP,2000042.0,1898015.0,2010978,3211680,3205795
ALSO HOLDING,385459.0,497241.0,460526,400988,313140
AMS-OSRAM AG,1819035.0,2208217.0,3593000,3396000,3021000
APG SGA,0.0,350.0,298,0,0
ARBONIA AG,187948.0,238947.0,179493,160652,213556
ARYZTA,2348358.0,1394739.0,1503913,401675,521023
ASCOM 'R',20000.0,40000.0,19000,0,10000
AUTONEUM HOLDING,376800.0,758300.0,885800,637500,638900
AVOLTA AG,3824300.0,8060100.0,9124900,7453400,6577600
BACHEM HOLDING,150460.0,107101.0,107551,20863,691
BALOISE HOLDING,1744500.0,2368000.0,2363300,2425700,2609600
BARRY CALLEBAUT,1481141.0,1864094.0,2758174,2378584,2079056
BC VAUD,11715000.0,10302000.0,12642000,12151000,14925000
BELIMO,1463.0,13714.0,13940,10768,11472
BELL 'R',903500.0,877500.0,868600,867700,1059900
BKW,1756300.0,1443000.0,1450000,1875400,1991600
BOSSARD 'B',162990.0,220369.0,196331,251330,354781
BURKHALTER,11369.0,12652.0,12636,12456,65223
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,1025400.0,1483100.0,1459500,1482200,1436200
CLARIANT,2240000.0,2289000.0,2022000,1949000,1464000
COMET HOLDINGS 'R',67812.0,85282.0,81818,79411,97866
COSMO PHARMACEUTICALS,165161.0,171848.0,175155,176928,180609
DAETWYLER 'I',281700.0,285300.0,205500,150600,697400
DKSH HOLDING,140500.0,500900.0,565600,587100,1012600
DOCMORRIS AG,148261.0,437601.0,570615,569165,554350
DORMA KABA HOLD,841700.0,769800.0,824400,677900,812600
EFG INTERNATIONAL,5904200.0,6241600.0,5526800,5534800,5166000
EMMI AG,608051.0,483434.0,471347,658443,693915
FEINTOOL,183732.0,188908.0,212132,174934,123601
FLUGHAFEN ZURICH,1101978.0,1284596.0,1928243,1866000,1936600
FORBO HDG.,100.0,40200.0,45200,82400,65600
GALENICA SANTE,410584.0,656068.0,640632,672647,686490
GAM HOLDING,47000.0,133100.0,88300,56600,44800
GEBERIT 'R',837400.0,836900.0,778800,783900,1029600
GEORG FISCHER,780000.0,762000.0,958000,999000,735000
GIVAUDAN 'N',3270000.0,4131000.0,4451000,4667000,5005000
GURIT HOLDING 'B',128272.0,97889.0,67142,67271,111209
HELVETIA HOLDING,2277200.0,2233700.0,3064100,2880600,2859000
HOLCIM,15988000.0,14168000.0,13755000,16612000,14910000
HUBER+SUHNER 'R',0.0,1395.0,632,0,0
IMPLENIA 'R',516022.0,639753.0,732837,888453,654479
INFICON,0.0,7092.0,17018,10028,40181
INTERROLL,14.0,6885.0,6091,22402,8477
INTERSHOP,589022.0,503986.0,465094,428892,394887
INVESTIS HOLDING,549632.0,660000.0,560000,648500,319000
JULIUS BAER GRUPPE,22099100.0,18606900.0,19981800,21525200,17831300
JUNGFRAUBAHN 'R',42011.0,51079.0,109252,135045,102510
KARDEX HOLDING AG,0.0,0.0,108,622,0
KOMAX,91072.0,153692.0,144275,149075,188259
KUDELSKI 'B',460766.0,499054.0,474194,486086,325839
KUEHNE UND NAGEL INTERNATIONAL,355000.0,2354000.0,1985000,1889000,1700000
LEM 'R',5000.0,8000.0,15143,31363,70671
LEONTEQ,4047905.0,4393897.0,5392492,6590095,5263354
LIECHTENSTEINISCHE LANDESBANK,2745802.0,3148976.0,3156216,4308050,3884628
LOGITECH 'R',0.0,0.0,0,0,0
LONZA GROUP,4062000.0,3540000.0,3814000,2749000,2587000
METALL ZUG,5477.0,4978.0,4653,4167,17000
MEYER BURGER,55629.0,28075.0,133,181189,220821
MOBILEZONE HOLDING,168550.0,195867.0,182998,133552,149301
MOBIMO HOLDING,1540688.0,1598580.0,1726968,1787338,1619487
MOLECULAR PARTNERS,0.0,2545.0,7218,6039,4850
NESTLE 'N',40394000.0,37164000.0,39947000,46574000,54312000
NOVARTIS 'R',31512380.0,28215264.0,33501675,28294800,25815825
OC OERLIKON CORPORATION,497000.0,363000.0,371000,960000,947000
ORASCOM DEV.HOLDING,372405.0,466540.0,460955,474972,496733
ORIOR,179606.0,170184.0,169128,151430,154159
PARTNERS GROUP HOLDING,299700.0,868700.0,868300,862400,1146900
PSP SWISS PROPERTY AG,2011212.0,2246136.0,3057205,3012750,3092389
RICHEMONT,9621092.0,7883973.0,10323098,14996621,15321426
RIETER HOLDING 'R',106900.0,234600.0,241900,411300,461700
ROCHE HOLDING,18770000.0,15582000.0,15411000,32552000,26544000
SCHINDLER 'R',620000.0,1040000.0,931000,1078000,1036000
SCHWEITER,2189.0,30064.0,38275,41400,81600
SCHWEIZERISCHE NAT.BK.,620453200.0,648521600.0,764282000,794138100,703551300
SFS GROUP,70600.0,62000.0,43500,6800,699200
SGS 'N',2490000.0,2881000.0,3874000,3807000,4446000
SIEGFRIED 'R',365985.0,390985.0,377498,560000,590000
SIKA,3006600.0,4371900.0,4144400,3664700,3894800
SONOVA,759407.0,609800.0,1058300,1833800,1484300
STRAUMANN HLDG.,223294.0,455501.0,722047,706569,701596
SULZER 'R',1334700.0,1449200.0,1859800,1625600,1465500
SWISS LIFE HOLDING,8434000.0,7023000.0,8708000,9066000,8220000
SWISS PRIME SITE,5076404.0,5380720.0,5164301,5148042,5505424
SWISS STEEL HOLDING AG,784026.0,907010.0,763113,828363,901129
SWISSCOM 'R',7375000.0,9287000.0,8940000,8398000,7784000
SWISSQUOTE 'R',209205.0,142631.0,261937,262937,379890
TECAN 'R',2311.0,47884.0,38725,313659,307683
TEMENOS,799422.0,1136981.0,865403,875390,777743
THE SWATCH GROUP,224000.0,121000.0,91000,99000,8000
TX GROUP AG,158873.0,84280.0,93229,133622,176200
U-BLOX HOLDING,119165.0,141601.0,153668,92633,95050
UBS GROUP,225067526.0,212218512.0,223696140,238406832,221653125
VALIANT 'R',6778592.0,8245699.0,9632183,10761442,10179589
VAT GROUP,226686.0,254088.0,266339,206942,211182
VETROPACK 'B',62300.0,22000.0,44800,37500,178800
